,ARCNN,DeeperSRCNN,dnCNN,EDSR_ResNet,FastARCNN,ResNet,Res_ARCNN,Res_FastARCNN,RUNet,SRResnet,UNet
20,0.3368959521609294,0.061903912445894556,0.06383832045034346,0.8106669055688736,0.2608895032431207,0.06496859214471161,0.05914053095492581,0.06677651466611043,0.06702546039817978,0.2289438380117591,0.10290479964643474
40,0.30720610397985754,0.05880185248762655,0.05028065039892458,0.6805136120565288,0.2642525241255983,0.062369288644862506,0.057100685540205844,0.0567875413452988,0.06386685975280515,0.0765530362196685,0.13702142520633126
60,0.162179980150482,0.05697943249319496,0.0440716366658492,0.49240232983202314,0.17506599568823383,0.062450504722786494,0.057475460480926444,0.058957161250666267,0.053423239486922736,0.06375605402707503,0.09678838905656087
80,0.3275042710741348,0.055151241090252004,0.04268544614690823,0.7109383990902839,0.11217148372187043,0.05778367080261689,0.05734455506401294,0.05832950094689769,0.05371230500746789,0.07437913571545698,0.05933670945432018
100,0.14291518187037797,0.05376928712275909,0.041896422976027414,0.5250641980870113,0.28210405525976484,0.05767538667840202,0.05724985706851589,0.05882646026138781,0.04906011878662545,0.062411019634204874,0.09987612290735089
120,0.13937628656809645,0.05327845678858787,0.04272589317653389,0.817789265079385,0.08799685007360926,0.052931312005484066,0.05703670206817505,0.06011884711369474,0.04922965101194646,0.12874383400192005,0.06094751829341018
140,0.07576072342964744,0.05255735069328725,0.04093226224105307,0.7586503173177503,0.07584471812446705,0.052561638902175314,0.0571251964328217,0.05673449638630951,0.048068958561711374,0.09387680423011549,0.06424053018358948
160,0.07003000123411,0.05192630318200615,0.04041366528337131,0.5339806938551217,0.08381308682431637,0.049414794592783105,0.05726660430413762,0.057056508679320446,0.047662754986059395,0.07155551374386154,0.07487762084533806
180,0.06648868117621423,0.051177546821759005,0.041089111495506626,0.4140304965521655,0.06758560249912225,0.04923691427501869,0.056956151289175715,0.05815108074949554,0.046887641761860575,0.05877419883140318,0.05964572879411983
200,0.06790416171650195,0.04969281066754697,0.04077613996644066,0.13114124512937295,0.0684453435737885,0.04740010270200847,0.05631958718479087,0.058324481432587366,0.046551534302006474,0.060850352324641636,0.0577556181743101
220,0.07614642480934282,0.05888129567371617,0.040350990724525165,0.3903690341052853,0.05946787803949323,0.04625749224900402,0.05552946143476951,0.058479809288242306,0.05048426701190467,0.0601460141691626,0.07445692240873697
240,0.0685447281255644,0.059054904690270076,0.040152078281886,0.2124299007230666,0.06269863008397453,0.04519617207725843,0.055769651715634694,0.05818453669432048,0.047658879417764886,0.05946049112778426,0.051800406924522646
260,0.06271873130158606,0.05782814174494483,0.03993660792658507,0.31510133737451174,0.0636598501424247,0.04455506533016263,0.0549056047474561,0.05743952128014023,0.045403014769858384,0.061789553901094176,0.05060053124864159
280,0.060520198303482174,0.05573285324079596,0.03952369505830158,0.35261878964617877,0.060462754103157906,0.044126810226199124,0.05547333816096966,0.057003973227009175,0.04644814196323862,0.06480908616812549,0.052094862589802976
300,0.05919136803142472,0.054439651936408866,0.03937993702349721,0.2218971202273548,0.05854721453780786,0.04412047983720162,0.054972021574648894,0.056008803405805455,0.04555186595595077,0.10943162790987959,0.05686021443624362
320,0.05813020058893031,0.05332312699213166,0.039306014174436514,0.15057116575120752,0.056558541518757756,0.04349944000487059,0.055283952357979796,0.0567235801793199,0.0457646818173543,0.06322544184472667,0.05045256465162058
340,0.05730408582894008,0.052802994221550305,0.039244698453752225,0.24710979237502004,0.0550926751683444,0.04276601315796449,0.055413678040048236,0.05629039764280472,0.045169180966198846,0.061824676108361974,0.05891134703029127
360,0.05684991840435278,0.05286696604183909,0.03909638084017089,0.07129865327497734,0.05312981153637699,0.04318845366378442,0.05581840679014447,0.05616423137402965,0.04591968893481552,0.0652815939421099,0.05103466993351507
380,0.056469343049442046,0.05219486811623632,0.03933113223136557,0.09291459958297899,0.05356393506392135,0.043342731972255806,0.05513340548070926,0.056502348097249556,0.04595090566805714,0.06055084951430613,0.04833329870400134
400,0.05687833614137439,0.05134882009639906,0.03965339774025406,0.07738115407299238,0.05347744873340367,0.04388286763594063,0.054520802960190504,0.05661670616764145,0.04676171193019193,0.05964382651583525,0.051855787080656905
